,DH_PE_MW
2000-01-16 11:00:00,0.0
2000-01-16 11:30:00,0.0
2000-01-16 12:00:00,0.0
2000-01-16 12:30:00,0.0
2000-01-16 13:00:00,0.0
2000-01-16 13:30:00,0.0
2000-01-16 14:00:00,0.0
2000-01-16 14:30:00,0.0
2000-01-16 15:00:00,116.71891921464797
2000-01-16 15:30:00,0.0
2000-01-16 16:00:00,116.59292339199408
2000-01-16 16:30:00,0.0
2000-01-16 17:00:00,111.64085748218697
2000-01-16 17:30:00,0.0
2000-01-16 18:00:00,115.79399244542597
2000-01-16 18:30:00,0.0
2000-01-16 19:00:00,133.02799474219495
2000-01-16 19:30:00,0.0
2000-01-16 20:00:00,131.16819935217723
2000-01-16 20:30:00,0.0
2000-01-16 21:00:00,120.04109563219102
2000-01-16 21:30:00,0.0
2000-01-16 22:00:00,114.81834181804525
2000-01-16 22:30:00,0.0
2000-01-16 23:00:00,124.86225314443139
2000-01-16 23:30:00,0.0
2000-01-17 00:00:00,0.0
2000-01-17 00:30:00,0.0
2000-01-17 01:00:00,0.0
2000-01-17 01:30:00,0.0
2000-01-17 02:00:00,0.0
2000-01-17 02:30:00,0.0
2000-01-17 03:00:00,0.0
2000-01-17 03:30:00,0.0
2000-01-17 04:00:00,0.0
2000-01-17 04:30:00,0.0
2000-01-17 05:00:00,0.0
2000-01-17 05:30:00,0.0
2000-01-17 06:00:00,0.0
2000-01-17 06:30:00,0.0
2000-01-17 07:00:00,0.0
2000-01-17 07:30:00,0.0
2000-01-17 08:00:00,0.0
2000-01-17 08:30:00,0.0
2000-01-17 09:00:00,0.0
2000-01-17 09:30:00,0.0
2000-01-17 10:00:00,0.0
2000-01-17 10:30:00,0.0
2000-01-17 11:00:00,0.0
